N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,ESTADO,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA
317,10.- LIMA,LIMA,LIMA,LIMA,755,ORA,OPERATIVO,ORA NACIONAL DOS DE MAYO (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau
318,10.- LIMA,LIMA,LIMA,ATE ,757,ORA,OPERATIVO,ORA HOSPITAL DE HUAYCAN (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima
319,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,796,MAC,OPERATIVO,MAC - LIMA SUR,08:30 a 16:30,SI,NO,SI,SI,SI,NO,SI,SI,SI,Avenida Circunvalación 1583- San Juan de Miraflores
320,10.- LIMA,LIMA,LIMA,COMAS,808,MAC,OPERATIVO,MAC - LIMA NORTE,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Los Angeles N° 602 2do piso - Cc Mall Plaza 
321,10.- LIMA,LIMA,LIMA,JESUS MARIA,490,PVM,OPERATIVO,PVM - JESUS MARIA ,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Jirón Talara N° 130
322,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,478,PVM,OPERATIVO,PVM - JOCKEY PLAZA,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Javier Prado Este N° 4200 ( Centro Financiero del Centro Comercial)
323,10.- LIMA,LIMA,LIMA,SURQUILLO,499,PVM,OPERATIVO,PVM - OPEN PLAZA ANGAMOS,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Cruce Angamos N° 1805 con Tomas Marsano
324,10.- LIMA,LIMA,LIMA,CHORRILLOS,493,PVM,OPERATIVO,PVM - PLAZA LIMA SUR,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO, Prolongación Paseo  de la Republica S/N Urb. Matellini (2do nivel del Centro Comercial) 
325,10.- LIMA,CALLAO,CALLAO,VENTANILLA,724,PVM,OPERATIVO,PVM - VENTANILLA,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica 
326,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,494,PVM,OPERATIVO,PVM - MALL AVENTURA PLAZA - CALLAO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza
327,10.- LIMA,LIMA,LIMA,MIRAFLORES,547,PVM,OPERATIVO,PVM - MIRAFLORES,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Diez Canseco N° 230
328,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,775,PVM,OPERATIVO,PVM - INDEPENDENCIA,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte
329,10.- LIMA,LIMA,LIMA,LURIN,489,PVM,OPERATIVO,PVM - OR LURIN,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Mz. B Lote 5 Asociación de Vivienda Centinela (detrás del polideportivo)
330,10.- LIMA,LIMA,LIMA,SANTA ANITA,17,ORA,OPERATIVO,ORA HOSP. JORGE VOTO BERNALES (ESSALUD),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,"Carretera CARRETERA CENTRAL KM. 3,5 - SANTA ANITA"
331,10.- LIMA,LIMA,LIMA,CERCADO DE LIMA,186,ORA,OPERATIVO,HOSP. NAC DOC MADRE Y NIÑO  SAN BARTOLOME (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida ALFONSO UGARTE 825 - LIMA
332,10.- LIMA,LIMA,LIMA,CHORRILLOS,183,ORA,OPERATIVO,CMI VIRGEN DEL CARMEN  (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES
333,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,13,ORA,OPERATIVO,ORA HOSPITAL PUENTE PIEDRA (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida SAENZ PEÑA S/N KM 30
334,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,492,PVM,OPERATIVO,PVM - SAN JUAN DE LURIGANCHO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Las Flores 260-262  Urb. San Rafael
335,10.- LIMA,ANCASH,OCROS,OCROS,40,AG,OPERATIVO,AG OCROS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza de Armas S/N (MUNICIPIO)
336,10.- LIMA,LIMA,HUARAL,CHANCAY,1183,AG,OPERATIVO,AG CHANCAY,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida 1ro de mayo s/n cdra 03
337,10.- LIMA,LIMA,LIMA,PUEBLO LIBRE,9,ORA,OPERATIVO,ORA HOSPITAL SANTA ROSA,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Bolivar Crda. 8 Pueblo Libre 
338,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,769,ORA,OPERATIVO,ORA  CMI TAHUANTINSUYO BAJO,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Chinchaysullo cdra 4 Independencia
339,10.- LIMA,LIMA,LIMA,SURQUILLO,114,AG,OPERATIVO,AG. INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO,NO,Av. Angamos Este 2520 - Surquillo (puerta emergencia del INEN)
340,10.- LIMA,LIMA,LIMA,SAN MARTIN DE PORRES,491,PVM,OPERATIVO,PVM - OR SAN MARTIN DE PORRES,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,Av. Eduardo de Habich 592
341,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,,PVM,OPERATIVO,PVM - MALL  LIMA SUR,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,NO,"Av. Los Lirios s/n, altura de  puente Atocongo"
342,10.- LIMA,LIMA,LIMA,VILLA EL SALVADOR,758,ORA,OPERATIVO,ORA HOSPITAL EMERGENCIA VILLA EL SALVADOR,08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida  Pastor Sevilla cruce Av. 200 millas VES
343,11.- PUNO,PUNO,PUNO,PUNO,19,ORA,OPERATIVO,ORA MANUEL NUÑEZ BUTRON,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida El Sol N° 1022
344,11.- PUNO,PUNO,PUNO,PUNO,89,ORA,OPERATIVO,ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Francisco Cáceres Jara Nº 600
345,11.- PUNO,PUNO,SAN ROMAN,JULIACA,90,ORA,OPERATIVO,ORA CARLOS MONGE MEDRANO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO, Carretera a Huancane Km 2
346,11.- PUNO,PUNO,EL COLLAO ,ILAVE ,108,ORA,OPERATIVO,ORA ILAVE,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Atahualpa Nº 825
347,11.- PUNO,PUNO,SAN ROMAN,JULIACA,118,ORA,OPERATIVO,ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida José Santos Chocano S/N - La Capilla
348,11.- PUNO,PUNO,PUNO,PUNO,551,OR,OPERATIVO,OR PUNO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Arequipa N° 1143 - 1145 Barrio Victoria
349,11.- PUNO,PUNO,AZANGARO,AZANGARO,552,PAP,OPERATIVO,PAP AZANGARO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Azangaro N° 160  (Palacio Municipal)
350,11.- PUNO,PUNO,CARABAYA,MACUSANI,553,PAP,OPERATIVO,PAP CARABAYA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Raimondi N° 116
351,11.- PUNO,PUNO,CHUCUITO,JULI,554,PAP,OPERATIVO,PAP CHUCUITO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Ilave 235 - Mercado Central Municipio
352,11.- PUNO,PUNO,HUANCANE,HUANCANE,555,PAP,OPERATIVO,PAP HUANCANE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Moquegua N° 104 - Barrio Progreso
353,11.- PUNO,PUNO,LAMPA,LAMPA,556,PAP,OPERATIVO,PAP LAMPA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Alfonso Ugarte N° 343
354,11.- PUNO,PUNO,MELGAR,AYAVIRI,557,PAP,OPERATIVO,PAP MELGAR,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Calle Jorge Chavez N°  550
355,11.- PUNO,PUNO,SANDIA,SANDIA,558,PAP,OPERATIVO,PAP SANDIA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Juliaca S/N - Mercado Central Sandia
356,11.- PUNO,PUNO,SAN ROMAN,JULIACA,559,AG,OPERATIVO,AG SAN ROMAN,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Brascesco N° 181 
357,11.- PUNO,PUNO,YUNGUYO,YUNGUYO,560,PAP,OPERATIVO,PAP YUNGUYO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Grau Nº 240
358,11.- PUNO,PUNO,SAN ANTONIO DE PUTINA,PUTINA,561,PAP,OPERATIVO,PAP PUTINA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza de Armas S/N (Palacio Municipal)
359,11.- PUNO,PUNO,EL COLLAO,ILAVE,562,PAP,OPERATIVO,PAP EL COLLAO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Bolognesi S/N - Coliseo Cubierto Ilave Oficina N° 02
360,11.- PUNO,PUNO,MOHO,MOHO,563,PAP,DESPLAZAMIENTO,PAP MOHO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Avenida Circunvalación S/N Terminal Terrestre
361,11.- PUNO,PUNO,AZANGARO,AZANGARO,634,ORA,OPERATIVO,ORA CARLOS CORNEJO ROSELLO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Francisco Bolognesi N° 557
362,11.- PUNO,PUNO,CHUCUITO,JULI,635,ORA,OPERATIVO,ORA JULI,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Panamericana S/N
363,11.- PUNO,PUNO,HUANCANE,HUANCANE,636,ORA,OPERATIVO,ORA HOSPITAL LUCIO ALDAZABAL PAUCA,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Santa Cruz S/N
364,11.- PUNO,PUNO,MELGAR,AYAVIRI,637,ORA,OPERATIVO,ORA SAN JUAN DE DIOS (AYAVIRI),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Progreso S/N
365,11.- PUNO,PUNO,SAN ROMÁN,JULIACA,759,ORA,OPERATIVO,ORA CENTRO DE SALUD CLAS SANTA ADRIANA,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Pachacutec S/N
366,11.- PUNO,PUNO,SAN ROMÁN,SAN MIGUEL,792,PAP,OPERATIVO,PAP SAN MIGUEL - JR11,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO, Palacio Municipal S/N
367,11.- PUNO,PUNO,CHUCUITO,DESAGUADERO,791,PAP,OPERATIVO,PAP DESAGUADERO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón 28 de Julio N° 305 - Desaguadero
368,11.- PUNO,PUNO,PUNO,ACORA,824,PAP,OPERATIVO,PAP ACORA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Plaza de Armas (Palacio Municipal)
369,11.- PUNO,PUNO,SAN ROMAN,JULIACA,1184,MAC,OPERATIVO,MAC PUNO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida San Martin lote 07
370,11.- PUNO,PUNO,CARABAYA,MACUSANI,1185,PANP,DESPLAZAMIENTO,PANP CRUCERO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Plaza Plaza de Armas S/N
371,12.- ICA,ICA,ICA,ICA,18,ORA,OPERATIVO,ORA REGIONAL DE ICA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Huacachina S/N
372,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,125,AG,OPERATIVO,AG LUCANAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón San Pedro  Nº 216
373,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,126,AG,OPERATIVO,AG PARINACOCHAS,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Bolognesi N° 419 Plaza de Armas
374,12.- ICA,ICA,ICA,PARCONA,150,PAP,OPERATIVO,PAP PARCONA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Jhon F. Kennedy N° 500 con Calle Lima S/N (Costado del Palacio Municipal)
375,12.- ICA,ICA,ICA,ICA,271,OR,OPERATIVO,OR ICA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida San Martin N° 1366 Mz. M-02 Lt. 035. Urb. San Isidro 
376,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,272,AG,OPERATIVO,AG CHINCHA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Los Angeles N° 300
377,12.- ICA,ICA,NASCA,NASCA,273,AG,OPERATIVO,AG NASCA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Fermin del Castillo N° 270
378,12.- ICA,ICA,PISCO,PISCO,274,AG,OPERATIVO,AG PISCO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle San Juan de Dios N° 288
379,12.- ICA,AYACUCHO,LUCANAS,CABANA,330,PAP,DESPLAZAMIENTO,PAP CABANA ,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Jorge Chavez N° 272 
380,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,346,ORA,OPERATIVO,ORA FELIPE HUAMAN POMA DE AYALA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Arnaldo Alvarado S/N 
381,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,347,ORA,OPERATIVO,ORA HOSPITAL DE APOYO DE CORACORA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida La Cultura S/N
382,12.- ICA,ICA,ICA,ICA,354,ORA,OPERATIVO,ORA SANTA MARIA DEL SOCORRO (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Castrovirreyna N° 759
383,12.- ICA,ICA,PISCO,PISCO,355,ORA,OPERATIVO,ORA SAN JUAN DE DIOS (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Fermín Tanguis S/N (Altura del Fundo Alto de la Luna)
384,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,356,ORA,OPERATIVO,ORA SAN JOSE DE CHINCHA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Abelardo Alva Maurtua Nº 600
385,12.- ICA,AYACUCHO,LUCANAS,LARAMATE,469,PANP,DESPLAZAMIENTO,PANP LARAMATE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Ica S/N
386,12.- ICA,ICA,NASCA,NASCA,507,ORA,OPERATIVO,ORA HOSPITAL DE APOYO DE NASCA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Callao S/N - 5ta Cuadra
387,12.- ICA,ICA,ICA,ICA,233,ORA,OPERATIVO,ORA AUGUSTO HERNANDEZ MENDOZA (ESSALUD),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle José Matias Manzanilla S/N
388,12.- ICA,ICA,ICA,ICA,1193,MAC,OPERATIVO,MAC ICA,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Los Maestros S/N C.C. Mega Plaza Segundo Piso
389,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,143,ORA,OPERATIVO,ORA HOSPITAL REGIONAL DE PUCALLPA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Agustin Cauper N° 285
390,13.- PUCALLPA,HUANUCO,PUERTO INCA,PUERTO INCA,248,PAP,OPERATIVO,PAP PUERTO INCA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Vulcano S/N
391,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,337,ORA,OPERATIVO,ORA HOSPITAL AMAZÓNICO - YARINACOCHA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Aguaytia N° 605
392,13.- PUCALLPA,LORETO,UCAYALI,CONTAMANA,435,PAP,OPERATIVO,PAP CONTAMANA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Nuevo Loreto Mz.38C  Lt.5B
393,13.- PUCALLPA,UCAYALI,PADRE ABAD,IRAZOLA ,542,AG,OPERATIVO,AG IRAZOLA ,08:45 a 16:45,SI,SI,SI,SI,SI,NO,NO,SI,NO,Calle Progreso S/N 
394,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,701,OR,OPERATIVO,OR PUCALLPA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,"Jirón 09 de Diciembre N° 378 y Tacna Nº 891 Mz. 07 Lt. Acumulado 1-B, independiente."
395,13.- PUCALLPA,UCAYALI,PADRE ABAD,PADRE ABAD,702,PAP,OPERATIVO,PAP PADRE ABAD,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Grau Nº 214
396,13.- PUCALLPA,UCAYALI,ATALAYA,RAIMONDI,703,PAP,OPERATIVO,PAP ATALAYA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Rioja Nº 659
397,13.- PUCALLPA,UCAYALI,PURUS,PURUS,704,PAP,OPERATIVO,PAP PURUS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Purus S/N
398,13.- PUCALLPA,UCAYALI,ATALAYA,TAHUANIA,723,PAP,OPERATIVO,PAP TAHUANIA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón 7 de Junio  S/N
399,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,828,MAC,OPERATIVO,MAC - UCAYALI,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Centenario 1642 (2do piso) Centro Comercial Real Plaza
400,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,15,PAP,OPERATIVO,PAP IZCUCHACA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Ferrocarril  S/N 
401,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,PAUCARA,16,PAP,OPERATIVO,PAP PAUCARA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza Mayor S/N
402,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,20,ORA,OPERATIVO,ORA HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA (MINSA),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Andrés Avelino Cáceres S/N - Barrio Yananaco
403,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,618,ORA,OPERATIVO,ORA HUANDO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Cementerio s/n
404,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ASCENSIÓN,62,ORA,OPERATIVO,ORA HOSPITAL II HUANCAVELICA (ESSALUD),08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,NO,Avenida Teresa de Jurnet S/N
405,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,221,OR,OPERATIVO,OR HUANCAVELICA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,"Avenida San Cristóbal Nº 384, 386 y 388"
406,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,ACOBAMBA,222,OR,OPERATIVO,OR ACOBAMBA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Dos De Mayo N° 459
407,14.- HUANCAVELICA,HUANCAVELICA,ANGARAES,LIRCAY,223,OR,OPERATIVO,OR ANGARAES,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Centenario S/N - Barrio de Pueblo Nuevo - Dentro del Centro Civico
408,14.- HUANCAVELICA,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,224,OR,OPERATIVO,OR CASTROVIRREYNA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Los Libertadores S/N
409,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,PAMPAS,225,OR,OPERATIVO,OR TAYACAJA,08:45 a 16:45,NO,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Manco Capac S/N con Jirón Alfonso Ugarte Cordova y Necochea - Coliseo Multiuso
410,14.- HUANCAVELICA,HUANCAVELICA,HUAYTARA,HUAYTARA,226,OR,OPERATIVO,OR HUAYTARA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Calle 24 de Junio S/N - 2do piso Centro Cívico 
411,14.- HUANCAVELICA,HUANCAVELICA,CHURCAMPA,CHURCAMPA,227,OR,OPERATIVO,OR CHURCAMPA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Real N° 255
412,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,PAMPAS,362,ORA,OPERATIVO,ORA HOSPITAL DE PAMPAS (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Bolívar S/N 
413,14.- HUANCAVELICA,HUANCAVELICA,ANGARAES,LIRCAY,467,ORA,DESPLAZAMIENTO,ORA LIRCAY (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Esmeralda S/N
414,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,SURCUBAMBA,498,AG,OPERATIVO,AG SURCUBAMBA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Calle Alfonso Ugarte S/N
415,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,COLCABAMBA,510,AG,OPERATIVO,AG COLCABAMBA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Centenario S/N
416,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,YAULI,598,ORA,OPERATIVO,ORA YAULI (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Jorge Chávez S/N
417,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,PAUCARA,468,ORA,OPERATIVO,ORA PAUCARA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Lircay s/n
418,14.- HUANCAVELICA,HUANCAVELICA,CHURCAMPA,CHURCAMPA,651,ORA,DESPLAZAMIENTO,ORA CHURCAMPA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Calle Ricardo Palma N° 535 (Instalaciones del Centro de Salud)
419,15.- HUANUCO,PASCO,PASCO,YANACANCHA,59,ORA,OPERATIVO,ORA DR. DANIEL ALCIDES CARRION GARCIA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida Los Incas S/N Urb. San Juan
420,15.- HUANUCO,PASCO,OXAPAMPA,PUERTO BERMUDEZ,115,PAP,OPERATIVO,PAP PUERTO BERMÚDEZ,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Remigio Morales Bermúdez S/N
421,15.- HUANUCO,PASCO,PASCO,HUARIACA,116,PAP,DESPLAZAMIENTO,PAP HUARIACA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón 28 de Julio Nº 129
422,15.- HUANUCO,HUANUCO,HUANUCO,HUÁNUCO,144,ORA,OPERATIVO,ORA HOSPITAL REGIONAL HERMILIO VALDIZAN (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Hermilio Valdizan Nº 950
423,15.- HUANUCO,PASCO,PASCO,PAUCARTAMBO,170,PAP,OPERATIVO,PAP PAUCARTAMBO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO, Plaza 28 de Julio S/N
424,15.- HUANUCO,HUANUCO,HUANUCO,HUÁNUCO,241,OR,OPERATIVO,OR HUANUCO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Jirón 28 de Julio N° 825
425,15.- HUANUCO,HUANUCO,AMBO,AMBO,242,PAP,OPERATIVO,PAP AMBO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,"Jirón 28 de Julio 697, Centro Cívico"
426,15.- HUANUCO,HUANUCO,DOS DE MAYO,LA UNION,243,PAP,OPERATIVO,PAP DOS DE MAYO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Lourdes N° 221
427,15.- HUANUCO,HUANUCO,HUAMALIES,LLATA,244,PAP,OPERATIVO,PAP HUAMALIES,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Huánuco N° 242
428,15.- HUANUCO,HUANUCO,MARAÑON,HUACRACHUCO,245,PAP,OPERATIVO,PAP MARAÑON,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Avenida 28 De Julio N° 602 
