CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A JULIO 2025;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
N°;CODIGO SIO DNI NUM;DEPARTAMENTO;PROVINCIA;DISTRITO;OFICINAS REGIONALES/U.O.;TIPO DE LOCAL;SIGLA TIPO DE LOCAL;CENTRO DE ATENCIÓN;HORARIO DE ATENCIÓN AL PUBLICO;NOMBRE DE LA VIA;"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC"; ¿Este Centro de Atención toma fotografía? ; ¿Este Centro de Atención entrega DNI Electrónico? ; TRAMITE DE DNI MAYOR ; TRAMITE DE DNI MENOR ; ENTREGAS DE DNI ; INSCRIPCION DE REGISTROS CIVILES ; CERTIFICACION DE REGISTROS CIVILES ; CERTIFICACION DEL RUIPN ; EREP ;;;
330;183;LIMA;LIMA;CHORRILLOS;;;;CMI VIRGEN DEL CARMEN  (MINSA);08:45 a 16:30;Avenida LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES;OPERATIVO PARCIAL;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
331;13;LIMA;LIMA;PUENTE PIEDRA;;;;ORA HOSPITAL PUENTE PIEDRA (MINSA);08:45 a 16:30;Avenida SAENZ PEÑA S/N KM 30;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
332;1183;LIMA;HUARAL;CHANCAY;;;;AG CHANCAY;08:45 a 16:45;Avenida 1ro de mayo s/n cdra 03;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
333;9;LIMA;LIMA;PUEBLO LIBRE;;;;ORA HOSPITAL SANTA ROSA;08:45 a 16:30;Avenida Bolivar Crda. 8 Pueblo Libre ;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
334;769;LIMA;LIMA;INDEPENDENCIA;;;;ORA  CMI TAHUANTINSUYO BAJO;08:45 a 16:30;Avenida Chinchaysullo cdra 4 Independencia;OPERATIVO PARCIAL;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
335;114;LIMA;LIMA;SURQUILLO;;;;AG. INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS;08:45 a 16:45;Av. Angamos Este 2520 - Surquillo (puerta emergencia del INEN);OPERATIVO;SI;NO;SI;SI;NO;NO;NO;NO;NO;;;
336;491;LIMA;LIMA;SAN MARTIN DE PORRES;;;;AGENTE RENIEC - OR SAN MARTIN DE PORRES;08:45 a 16:45;Av. Eduardo de Habich 592;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
337;600003;LIMA;LIMA;SAN JUAN DE MIRAFLORES;;;;AGENTE RENIEC - MALL  DEL SUR;08:45 a 16:45;Av. Los Lirios s/n, altura de  puente Atocongo;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
338;600006;LIMA;LIMA;COMAS;;;;AGENTE RENIEC - OR COMAS I;08:45 a 16:45;Av. Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
339;600012;LIMA;LIMA;SAN BORJA;;;;AGENTE RENIEC - OR SAN BORJA;08:45 a 16:45;Av. San Luis N° 1673 Urb. Jacaranda II;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
340;600002;LIMA;LIMA;LIMA;;;;AGENTE RENIEC - OR LIMA;08:45 a 16:45;Av. Nicolas de Pierola 545;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
341;600005;LIMA;LIMA;LIMA;;;;AGENTE RENIEC - AGENCIA ANCASH;08:45 a 16:45;Jr. Ancash 336-340 Cercado;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
342;600009;LIMA;BARRANCA;BARRANCA;;;;AGENTE RENIEC - OR BARRANCA;08:45 a 16:45;Av. Prolongacion Independencia 250;OPERATIVO;NO;NO;NO;NO;NO;NO;SI;NO;NO;;;
343;50;LIMA;LIMA;LIMA;;;;ORA HOSPITAL NACIONAL ARZOBISPO LOAYZA;08:45 a 16:30;Av. Alfonso Ugarte N° 848;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
344;758;LIMA;LIMA;VILLA EL SALVADOR;;;;ORA HOSPITAL EMERGENCIA VILLA EL SALVADOR;08:45 a 16:30;Avenida  Pastor Sevilla cruce Av. 200 millas VES;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
345;19;PUNO;PUNO;PUNO;;;;ORA MANUEL NUÑEZ BUTRON;08:45 a 16:45;El Sol N° 1022;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
346;89;PUNO;PUNO;PUNO;;;;ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO;08:45 a 16:45;Francisco Cáceres Jara Nº 600;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
347;90;PUNO;SAN ROMAN;JULIACA;;;;ORA CARLOS MONGE MEDRANO;08:45 a 16:45;Carretera a Huancane Km 2;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
348;108;PUNO;EL COLLAO ;ILAVE ;;;;ORA ILAVE;08:45 a 16:45;Atahualpa Nº 825;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
349;118;PUNO;SAN ROMAN;JULIACA;;;;ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA;08:45 a 16:45;José Santos Chocano S/N - La Capilla;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
350;551;PUNO;PUNO;PUNO;;;;OR PUNO;08:45 a 16:45;Arequipa N° 1143 - 1145 Barrio Victoria;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
351;552;PUNO;AZANGARO;AZANGARO;;;;PAP AZANGARO;08:45 a 16:45;Azangaro N° 160  (Palacio Municipal);OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
352;553;PUNO;CARABAYA;MACUSANI;;;;PAP CARABAYA;08:45 a 16:45;Raimondi N° 116;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
353;554;PUNO;CHUCUITO;JULI;;;;PAP CHUCUITO;08:45 a 16:45;Ilave 235 - Mercado Central Municipio;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
354;555;PUNO;HUANCANE;HUANCANE;;;;PAP HUANCANE;08:45 a 16:45;Moquegua N° 104 - Barrio Progreso;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
355;556;PUNO;LAMPA;LAMPA;;;;PAP LAMPA;08:45 a 16:45;Alfonso Ugarte N° 343;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
356;557;PUNO;MELGAR;AYAVIRI;;;;PAP MELGAR;08:45 a 16:45;Jorge Chavez N°  550;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
357;558;PUNO;SANDIA;SANDIA;;;;PAP SANDIA;08:45 a 16:45;Juliaca S/N - Mercado Central Sandia;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
358;559;PUNO;SAN ROMAN;JULIACA;;;;AG SAN ROMAN;08:45 a 16:45;Brascesco N° 181 ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
359;560;PUNO;YUNGUYO;YUNGUYO;;;;PAP YUNGUYO;08:45 a 16:45;Grau Nº 240;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
360;561;PUNO;SAN ANTONIO DE PUTINA;PUTINA;;;;PAP PUTINA;08:45 a 16:45;Plaza de Armas S/N (Palacio Municipal);OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
361;562;PUNO;EL COLLAO;ILAVE;;;;PAP EL COLLAO;08:45 a 16:45;Bolognesi S/N - Coliseo Cubierto Ilave Oficina N° 02;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
362;563;PUNO;MOHO;MOHO;;;;PAP MOHO;08:45 a 16:45;Circunvalación S/N Terminal Terrestre;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
363;634;PUNO;AZANGARO;AZANGARO;;;;ORA CARLOS CORNEJO ROSELLO;08:45 a 16:45;Francisco Bolognesi N° 557;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
364;635;PUNO;CHUCUITO;JULI;;;;ORA JULI;08:45 a 16:45;Panamericana S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
365;636;PUNO;HUANCANE;HUANCANE;;;;ORA HOSPITAL LUCIO ALDAZABAL PAUCA;08:45 a 16:45;Santa Cruz S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
366;637;PUNO;MELGAR;AYAVIRI;;;;ORA SAN JUAN DE DIOS (AYAVIRI);08:45 a 16:45;Progreso S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
367;759;PUNO;SAN ROMAN;JULIACA;;;;ORA CENTRO DE SALUD CLAS SANTA ADRIANA;08:45 a 16:45;Pachacutec S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
368;792;PUNO;SAN ROMAN;SAN MIGUEL;;;;PAP SAN MIGUEL - JR11;08:45 a 16:45;Palacio Municipal S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
369;791;PUNO;CHUCUITO;DESAGUADERO;;;;PAP DESAGUADERO;08:45 a 16:45;28 de Julio N° 305 - Desaguadero;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
370;824;PUNO;PUNO;ACORA;;;;PAP ACORA;08:45 a 16:45;Plaza de Armas (Palacio Municipal);OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
371;1184;PUNO;SAN ROMAN;JULIACA;;;;MAC - PUNO;08:30 a 16:30;San Martin lote 07;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
372;1185;PUNO;CARABAYA;CRUCERO;;;;PANP CRUCERO;08:45 a 16:45;Plaza de Armas S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
373;18;ICA;ICA;ICA;;;;ORA REGIONAL DE ICA (MINSA);08:45 a 16:30;Avenida Huacachina S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
374;125;AYACUCHO;LUCANAS;PUQUIO;;;;AG LUCANAS;08:45 a 16:45;Jirón San Pedro  Nº 216;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
375;126;AYACUCHO;PARINACOCHAS;CORACORA;;;;AG PARINACOCHAS;08:45 a 16:45;Jirón Bolognesi N° 419 Plaza de Armas;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
376;150;ICA;ICA;PARCONA;;;;PAP PARCONA;08:45 a 16:45;Avenida Jhon F. Kennedy N° 500 con Calle Lima S/N (Costado del Palacio Municipal);OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
377;271;ICA;ICA;ICA;;;;OR ICA;08:45 a 16:45;Avenida San Martin N° 1366 Mz. M-02 Lt. 035. Urb. San Isidro ;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
378;272;ICA;CHINCHA;CHINCHA ALTA;;;;AG CHINCHA;08:45 a 16:45;Calle Los Angeles N° 300;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
379;273;ICA;NASCA;NASCA;;;;AG NASCA;08:45 a 16:45;Calle Fermin del Castillo N° 270;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
380;274;ICA;PISCO;PISCO;;;;AG PISCO;08:45 a 16:45;Calle San Juan de Dios N° 288;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
381;275;ICA;PALPA;PALPA;;;;AG PALPA;08:45 a 16:45;Calle Portal de Escribanos Nº 145;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
382;330;AYACUCHO;LUCANAS;CABANA;;;;PAP CABANA ;08:45 a 16:45;Jirón Jorge Chavez N° 272 ;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
383;346;AYACUCHO;LUCANAS;PUQUIO;;;;ORA FELIPE HUAMAN POMA DE AYALA (MINSA);08:45 a 16:30;Avenida Arnaldo Alvarado S/N ;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
384;347;AYACUCHO;PARINACOCHAS;CORACORA;;;;ORA HOSPITAL DE APOYO DE CORACORA (MINSA);08:45 a 16:30;Avenida La Cultura S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
385;354;ICA;ICA;ICA;;;;ORA SANTA MARIA DEL SOCORRO (MINSA);08:45 a 16:30;Calle Castrovirreyna N° 759;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
386;355;ICA;PISCO;PISCO;;;;ORA SAN JUAN DE DIOS (MINSA);08:45 a 16:30;Avenida Fermín Tanguis S/N (Altura del Fundo Alto de la Luna);OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
387;356;ICA;CHINCHA;CHINCHA ALTA;;;;ORA SAN JOSE DE CHINCHA (MINSA);08:45 a 16:30;Avenida Abelardo Alva Maurtua Nº 600;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
388;469;AYACUCHO;LUCANAS;LARAMATE;;;;PANP LARAMATE;08:45 a 16:45;Jirón Ica S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
389;507;ICA;NASCA;NASCA;;;;ORA HOSPITAL DE APOYO DE NASCA (MINSA);08:45 a 16:30;Calle Callao S/N - 5ta Cuadra;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
390;233;ICA;ICA;ICA;;;;ORA AUGUSTO HERNANDEZ MENDOZA (ESSALUD);08:45 a 16:30;Calle José Matias Manzanilla S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
391;876;ICA;NASCA;MARCONA;;;;PAP MARCONA;08:45 a 16:45;Calle Andres Avelino Caceres S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
392;1193;ICA;ICA;ICA;;;;MAC - ICA;08:30 a 16:30;Avenida Los Maestros S/N C.C. Mega Plaza Segundo Piso;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
393;600018;ICA;ICA;ICA;;;;AGENTE RENIEC  - MEGA PLAZA ICA;08:45 a 16:45;Avenida Los Maestros S/N C.C. Mega Plaza Segundo Piso;OPERATIVO;NO;NO;SI;SI;NO;NO;SI;NO;NO;;;
394;130;AYACUCHO;PAUCAR DES SARA SARA;PAUZA;;;;PAP PAUCAR DEL SARA SARA;08:45 a 16:45;Jirón Miguel de Cervantes N° 455 (Palacio Municipal);OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
395;143;UCAYALI;CORONEL PORTILLO;CALLERIA;;;;ORA HOSPITAL REGIONAL DE PUCALLPA (MINSA);08:45 a 16:30;Jirón Luis Escavino N° 317;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
396;248;HUANUCO;PUERTO INCA;PUERTO INCA;;;;PAP PUERTO INCA;08:45 a 16:45;Jirón Vulcano S/N;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
397;337;UCAYALI;CORONEL PORTILLO;YARINACOCHA;;;;ORA HOSPITAL AMAZÓNICO - YARINACOCHA (MINSA);08:45 a 16:30;Jirón Aguaytia N° 605;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
398;646;UCAYALI;ATALAYA;RAIMONDI;;;;ORA ATALAYA;08:45 a 16:30;Calle Lima S/N  MZ.142 LT01 Piso 1 y 2 Urbanización Mario Pezo;OPERATIVO;SI;si;NO;SI;SI;SI;NO;NO;NO;;;
399;435;LORETO;UCAYALI;CONTAMANA;;;;PAP CONTAMANA;08:45 a 16:45;Calle Nuevo Loreto Mz.38C  Lt.5B;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
400;542;UCAYALI;PADRE ABAD;IRAZOLA ;;;;AG IRAZOLA ;08:45 a 16:45;Calle Progreso S/N ;OPERATIVO;SI;SI;SI;SI;SI;NO;NO;SI;NO;;;
401;701;UCAYALI;CORONEL PORTILLO;CALLERIA;;;;OR PUCALLPA;08:45 a 16:45;Jirón 09 de Diciembre N° 378 y Tacna Nº 891 Mz. 07 Lt. Acumulado 1-B, independiente.;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
402;702;UCAYALI;PADRE ABAD;PADRE ABAD;;;;PAP PADRE ABAD;08:45 a 16:45;Avenida Grau Nº 214;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
403;703;UCAYALI;ATALAYA;RAIMONDI;;;;PAP ATALAYA;08:45 a 16:45;Jirón Rioja Nº 659;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
404;704;UCAYALI;PURUS;PURUS;;;;PAP PURUS;08:45 a 16:45;Avenida Purus S/N;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
405;723;UCAYALI;ATALAYA;TAHUANIA;;;;PAP TAHUANIA;08:45 a 16:45;Jirón 7 de Junio  S/N;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
406;828;UCAYALI;CORONEL PORTILLO;YARINACOCHA;;;;MAC - UCAYALI;08:30 a 16:30;Avenida Centenario 1642 (2do piso) Centro Comercial Real Plaza;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
407;15;HUANCAVELICA;HUANCAVELICA;IZCUCHACA;;;;PAP IZCUCHACA;08:45 a 16:45;Avenida Ferrocarril  S/N ;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
408;16;HUANCAVELICA;ACOBAMBA;PAUCARA;;;;PAP PAUCARA;08:45 a 16:45; Plaza Mayor S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
409;20;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;;;;ORA HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA (MINSA);08:45 a 16:30;Avenida Andrés Avelino Cáceres S/N - Barrio Yananaco;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
410;618;HUANCAVELICA;HUANCAVELICA;HUANDO;;;;ORA HUANDO (MINSA);08:45 a 16:30;Calle Cementerio s/n;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
411;62;HUANCAVELICA;HUANCAVELICA;ASCENSIÓN;;;;ORA HOSPITAL II HUANCAVELICA (ESSALUD);08:45 a 16:30;Avenida Teresa de Jurnet S/N;OPERATIVO;SI;NO;NO;SI;NO;SI;NO;NO;NO;;;
412;221;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;;;;OR HUANCAVELICA;08:45 a 16:45;Avenida San Cristóbal Nº 384, 386 y 388;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
413;222;HUANCAVELICA;ACOBAMBA;ACOBAMBA;;;;OR ACOBAMBA;08:45 a 16:45;Jirón Dos De Mayo N° 459;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
414;223;HUANCAVELICA;ANGARAES;LIRCAY;;;;OR ANGARAES;08:45 a 16:45;Avenida Centenario S/N - Barrio de Pueblo Nuevo - Dentro del Centro Civico;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
415;224;HUANCAVELICA;CASTROVIRREYNA;CASTROVIRREYNA;;;;OR CASTROVIRREYNA;08:45 a 16:45;Avenida Los Libertadores S/N;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
416;225;HUANCAVELICA;TAYACAJA;PAMPAS;;;;OR TAYACAJA;08:45 a 16:45;Jirón Manco Capac S/N con Jirón Alfonso Ugarte Cordova y Necochea - Coliseo Multiuso;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
417;226;HUANCAVELICA;HUAYTARA;HUAYTARA;;;;OR HUAYTARA;08:45 a 16:45;Calle 24 de Junio S/N - 2do piso Centro Cívico ;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
418;227;HUANCAVELICA;CHURCAMPA;CHURCAMPA;;;;OR CHURCAMPA;08:45 a 16:45;Jirón Real N° 255;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
419;362;HUANCAVELICA;TAYACAJA;PAMPAS;;;;ORA HOSPITAL DE PAMPAS (MINSA);08:45 a 16:30;Jirón Bolívar S/N ;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
420;467;HUANCAVELICA;ANGARAES;LIRCAY;;;;ORA LIRCAY (MINSA);08:45 a 16:30;Avenida Esmeralda S/N;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
421;498;HUANCAVELICA;TAYACAJA;SURCUBAMBA;;;;AG SURCUBAMBA;08:45 a 16:45;Calle Alfonso Ugarte S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
422;510;HUANCAVELICA;TAYACAJA;COLCABAMBA;;;;AG COLCABAMBA;08:45 a 16:45;Avenida Centenario S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
423;598;HUANCAVELICA;HUANCAVELICA;YAULI;;;;ORA YAULI (MINSA);08:45 a 16:30;Avenida Jorge Chávez S/N;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
424;468;HUANCAVELICA;ACOBAMBA;PAUCARA;;;;ORA PAUCARA (MINSA);08:45 a 16:30;Calle Lircay s/n;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
425;651;HUANCAVELICA;CHURCAMPA;CHURCAMPA;;;;ORA CHURCAMPA (MINSA);08:45 a 16:30;Calle Ricardo Palma N° 535 (Instalaciones del Centro de Salud);DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
426;59;PASCO;PASCO;YANACANCHA;;;;ORA DR. DANIEL ALCIDES CARRION GARCIA (MINSA);08:45 a 16:30;Avenida Los Incas S/N Urb. San Juan;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
427;115;PASCO;OXAPAMPA;PUERTO BERMUDEZ;;;;PAP PUERTO BERMÚDEZ;08:45 a 16:45;Avenida Remigio Morales Bermúdez S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
428;116;PASCO;PASCO;HUARIACA;;;;PAP HUARIACA;08:45 a 16:45;Jirón 28 de Julio Nº 129;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
429;144;HUANUCO;HUANUCO;HUANUCO;;;;ORA HOSPITAL REGIONAL HERMILIO VALDIZAN (MINSA);08:45 a 16:30;Jirón Hermilio Valdizan Nº 950;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
430;170;PASCO;PASCO;PAUCARTAMBO;;;;PAP PAUCARTAMBO;08:45 a 16:45; Plaza 28 de Julio S/N;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
431;241;HUANUCO;HUANUCO;HUANUCO;;;;OR HUANUCO;08:45 a 16:45;Jirón 28 de Julio N° 825;OPERATIVO;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
432;242;HUANUCO;AMBO;AMBO;;;;PAP AMBO;08:45 a 16:45;Jirón 28 de Julio 697, Centro Cívico;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
433;243;HUANUCO;DOS DE MAYO;LA UNION;;;;PAP DOS DE MAYO;08:45 a 16:45;Jirón Lourdes N° 221;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
434;244;HUANUCO;HUAMALIES;LLATA;;;;PAP HUAMALIES;08:45 a 16:45;Jirón Huánuco N° 242;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
435;245;HUANUCO;MARAÑON;HUACRACHUCO;;;;PAP MARAÑON;08:45 a 16:45;Avenida 28 De Julio N° 602 ;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
436;246;HUANUCO;LEONCIO PRADO;RUPA-RUPA;;;;PAP LEONCIO PRADO;08:45 a 16:45;Jirón Chiclayo N° 585;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
437;247;HUANUCO;PACHITEA;PANAO;;;;PAP PACHITEA;08:45 a 16:45;Jirón Espinar N° 121;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
438;250;HUANUCO;LAURICOCHA;JESÚS;;;;PAP LAURICOCHA;08:45 a 16:45;Jirón Cristobal Colon S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
439;251;HUANUCO;YAROWILCA;CHAVINILLO;;;;PAP YAROWILCA;08:45 a 16:45;Jirón Virgen de Fátima S/N;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
440;340;PASCO;PASCO;CHAUPIMARCA;;;;ORA HOSPITAL II PASCO (ESSALUD);08:45 a 16:30; Barrio La Esperanza - Casa de Piedra;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
441;365;HUANUCO;PACHITEA;PANAO;;;;ORA PANAO (MINSA);08:45 a 16:30;Jirón Grau Nº 193;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
442;366;HUANUCO;LEONCIO PRADO;RUPA-RUPA;;;;ORA HOSPITAL TINGO MARIA (MINSA);08:45 a 16:30;Av. Ucayali Nº 114 ;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
443;367;HUANUCO;LEONCIO PRADO;JOSÉ CRESPO Y CASTILLO;;;;ORA AUCAYACU (MINSA);08:45 a 16:30;Jirón Grau S/N cuadra 4;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
444;368;HUANUCO;HUAMALIES;LLATA;;;;ORA LLATA (MINSA);08:45 a 16:30;Jr. 28 de Julio Nº 216;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
445;451;HUANUCO;DOS DE MAYO;LA UNION;;;;ORA LA UNION (MINSA);08:45 a 16:30;Jirón Dos de Mayo N° 185;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
446;477;HUANUCO;LEONCIO PRADO;JOSÉ CRESPO Y CASTILLO;;;;PAP JOSE CRESPO Y CASTILLO;08:45 a 16:45;Jirón Maria Parado de Bellido S/N Cuadra 4;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
447;497;HUANUCO;LAURICOCHA;BAÑOS;;;;AG BAÑOS;08:45 a 16:45; Plaza de Armas S/N;DESPLAZAMIENTO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
448;501;PASCO;PASCO;YANACANCHA;;;;AG PASCO;08:45 a 16:45;" Centro Comercial ""Sector Dos de San Juan Pampa Edif. 4 Tienda 3 San Juan-Yanacancha";OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
