N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA,,,,,,,,,,,
300,10.- LIMA,LIMA,BARRANCA,BARRANCA,OR BARRANCA,398,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Independencia N° 674 - 676 - 678,,,,,,,,,,,
301,10.- LIMA,LIMA,OYON,OYON,AG OYON,399,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Unión 216,,,,,,,,,,,
302,10.- LIMA,LIMA,LIMA,LURIGANCHO,OR CHOSICA,401,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Chucuito Nº 248 ,,,,,,,,,,,
303,10.- LIMA,LIMA,LIMA,PACHACAMAC,OR PACHACAMAC,404,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Paul Poblet N° 3111 - Dentro del Mercado Jumbo,,,,,,,,,,,
304,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,OR JESUS MARIA,405,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Talara N° 130-132-134 y 136 Jesús Maria,,,,,,,,,,,
305,10.- LIMA,LIMA,LIMA,CIENEGUILLA,OR CIENEGUILLA,421,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Avenida San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo",,,,,,,,,,,
306,10.- LIMA,LIMA,LIMA,SANTA ANITA,OR SANTA ANITA,423,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Avenida Los Eucaliptos Nº 947, Urbanización Universal",,,,,,,,,,,
307,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,OR INDEPENDENCIA,430,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte,,,,,,,,,,,
308,10.- LIMA,CALLAO,CALLAO,VENTANILLA,MAC - VENTANILLA,544,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,,,,,,,,,,,
309,10.- LIMA,LIMA,LIMA,JESÚS MARÍA,AG 06 DE AGOSTO,550,AG,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,NO,SI,SI,NO,Avenida 06 de Agosto N° 856,,,,,,,,,,,
310,10.- LIMA,CALLAO,CALLAO,MI PERÚ,PAP MI PERU,574,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,NO,NO,NO, Mz. G7 Lt. 06 Mi Perú  interior de la Sede Municipal.,,,,,,,,,,,
311,10.- LIMA,LIMA,LIMA,SAN MARTÍN DE PORRES,ORA NACIONAL CAYETANO HEREDIA (MINSA),577,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Jirón Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia,,,,,,,,,,,
312,10.- LIMA,LIMA,HUAURA,HUACHO,ORA HOSPITAL GENERAL DE HUACHO (MINSA),640,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Jose Arnaldo Arambulo La Rosa N° 251,,,,,,,,,,,
313,10.- LIMA,CALLAO,CALLAO,CALLAO,OR CALLAO,661,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Dos de Mayo N° 440 - 446,,,,,,,,,,,
314,10.- LIMA,LIMA,LIMA,SAN BORJA,AG ATENCIONES ESPECIALES DE SAN BORJA,696,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,NO,NO,SI,Avenida Javier Prado N° 2388 -2386 - 2392,,,,,,,,,,,
315,10.- LIMA,LIMA,LIMA,EL AGUSTINO,MAC - LIMA ESTE,717,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,NO,NO,SI,Avenida Carretera Central 111 Mall Aventura Santa Anita Nivel 2,,,,,,,,,,,
316,10.- LIMA,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,ORA HOSPITAL SAN JOSE (MINSA),729,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Jirón Las Magnolias 475 Carmen de la Legua-Reynoso,,,,,,,,,,,
317,10.- LIMA,CALLAO,CALLAO,VENTANILLA,ORA HOSPITAL DE VENTANILLA (MINSA),730,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Pedro Beltran S/N Ventanilla - Hospital de Ventanilla,,,,,,,,,,,
318,10.- LIMA,LIMA,CAÑETE,SAN LUIS,ORA HOSPITAL REZOLA (MINSA),739,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Distrito de San Luis S/N,,,,,,,,,,,
319,10.- LIMA,LIMA,BARRANCA,BARRANCA,ORA HOSPITAL DE BARRANCA (MINSA),740,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Nicolás de Piérola Nº 210 -224,,,,,,,,,,,
320,10.- LIMA,LIMA,HUARAL,HUARAL,ORA HOSPITAL SAN JUAN BAUTISTA HUARAL (MINSA),753,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Tacna Nº 120 Urb. San Juan I,,,,,,,,,,,
321,10.- LIMA,LIMA,LIMA ,COMAS,ORA HOSPITAL NACIONAL SERGIO E. BERNALES (MINSA),754,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,"Avenida Túpac Amaru N° 8000, Collique, Comas.",,,,,,,,,,,
322,10.- LIMA,LIMA,LIMA,LIMA,ORA NACIONAL DOS DE MAYO (MINSA),755,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau,,,,,,,,,,,
323,10.- LIMA,LIMA,LIMA,ATE ,ORA HOSPITAL DE HUAYCAN (MINSA),757,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima,,,,,,,,,,,
324,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MAC - LIMA SUR,796,MAC,OPERATIVO,08:30 a 16:30,SI,NO,SI,SI,NO,SI,SI,SI,Avenida Circunvalación 1583- San Juan de Miraflores,,,,,,,,,,,
325,10.- LIMA,LIMA,LIMA,COMAS,MAC - LIMA NORTE,808,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Los Angeles N° 602 2do piso - Cc Mall Plaza ,,,,,,,,,,,
326,10.- LIMA,LIMA,LIMA,JESUS MARIA,PVM - JESUS MARIA ,490,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Jirón Talara N° 130,,,,,,,,,,,
327,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,PVM - JOCKEY PLAZA,478,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Javier Prado Este N° 4200 ( Centro Financiero del Centro Comercial),,,,,,,,,,,
328,10.- LIMA,LIMA,LIMA,SURQUILLO,PVM - OPEN PLAZA ANGAMOS,499,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Cruce Angamos N° 1805 con Tomas Marsano,,,,,,,,,,,
329,10.- LIMA,LIMA,LIMA,CHORRILLOS,PVM - PLAZA LIMA SUR,493,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO, Prolongación Paseo  de la Republica S/N Urb. Matellini (2do nivel del Centro Comercial) ,,,,,,,,,,,
330,10.- LIMA,CALLAO,CALLAO,VENTANILLA,PVM - VENTANILLA,724,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,,,,,,,,,,,
331,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,PVM MALL AVENTURA PLAZA - CALLAO,494,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,,,,,,,,,,,
332,10.- LIMA,LIMA,LIMA,MIRAFLORES,PVM- MIRAFLORES,547,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Diez Canseco N° 230,,,,,,,,,,,
333,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,PVM - INDEPENDENCIA,775,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte,,,,,,,,,,,
334,10.- LIMA,LIMA,LIMA,LURIN,PVM - OR LURIN,489,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Mz. B Lote 5 Asociación de Vivienda Centinela (detrás del polideportivo),,,,,,,,,,,
335,10.- LIMA,LIMA,LIMA,SANTA ANITA,ORA HOSP. JORGE VOTO BERNALES (ESSALUD),17,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,"Carretera CARRETERA CENTRAL KM. 3,5 - SANTA ANITA",,,,,,,,,,,
336,10.- LIMA,LIMA,LIMA,CERCADO DE LIMA,HOSP. NAC DOC MADRE Y NIÑO  SAN BARTOLOME (MINSA),186,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida ALFONSO UGARTE 825 - LIMA,,,,,,,,,,,
337,10.- LIMA,LIMA,LIMA,CHORRILLOS,CMI VIRGEN DEL CARMEN  (MINSA),183,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES,,,,,,,,,,,
338,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,ORA HOSPITAL PUENTE PIEDRA (MINSA),13,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,SI,NO,NO,NO,Avenida SAENZ PEÑA S/N KM 30,,,,,,,,,,,
339,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,PVM - SAN JUAN DE LURIGANCHO,492,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Avenida Las Flores 260-262  Urb. San Rafael,,,,,,,,,,,
340,10.- LIMA,ANCASH,OCROS,OCROS,AG OCROS,40,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO, Plaza de Armas S/N (MUNICIPIO),,,,,,,,,,,
341,10.- LIMA,LIMA,HUARAL,CHANCAY,AG CHANCAY,1183,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Avenida 1ro de mayo s/n cdra 03,,,,,,,,,,,
342,10.- LIMA,LIMA,LIMA,PUEBLO LIBRE,ORA HOSPITAL SANTA ROSA,9,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,NO,SI,NO,NO,NO,Avenida Bolivar Crda. 8 Pueblo Libre ,,,,,,,,,,,
343,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,ORA  CMI TAHUANTINSUYO BAJO,769,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Chinchaysullo cdra 4 Independencia,,,,,,,,,,,
344,10.- LIMA,LIMA,LIMA,SURQUILLO,AG. INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,114,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,NO,NO,NO,NO,NO,Av. Angamos Este 2520 - Surquillo (puerta emergencia del INEN),,,,,,,,,,,
345,10.- LIMA,LIMA,LIMA,SAN MARTIN DE PORRES,PVM - OR SAN MARTIR DE PORRES,491,PVM,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,SI,NO,NO,Av. Eduardo de Habich 592,,,,,,,,,,,
346,11.- PUNO,PUNO,PUNO,PUNO,ORA MANUEL NUÑEZ BUTRON,19,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida El Sol N° 1022,,,,,,,,,,,
347,11.- PUNO,PUNO,PUNO,PUNO,ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO,89,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Francisco Cáceres Jara Nº 600,,,,,,,,,,,
348,11.- PUNO,PUNO,SAN ROMAN,JULIACA,ORA CARLOS MONGE MEDRANO,90,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO, Carretera a Huancane Km 2,,,,,,,,,,,
349,11.- PUNO,PUNO,EL COLLAO ,ILAVE ,ORA ILAVE,108,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Atahualpa Nº 825,,,,,,,,,,,
350,11.- PUNO,PUNO,SAN ROMAN,JULIACA,ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA,118,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida José Santos Chocano S/N - La Capilla,,,,,,,,,,,
351,11.- PUNO,PUNO,PUNO,PUNO,OR PUNO,551,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Jirón Arequipa N° 1143 - 1145 Barrio Victoria,,,,,,,,,,,
352,11.- PUNO,PUNO,AZANGARO,AZANGARO,PAP AZANGARO,552,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón Azangaro N° 160  (Palacio Municipal),,,,,,,,,,,
353,11.- PUNO,PUNO,CARABAYA,MACUSANI,PAP CARABAYA,553,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Raimondi N° 116,,,,,,,,,,,
354,11.- PUNO,PUNO,CHUCUITO,JULI,PAP CHUCUITO,554,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Ilave 235 - Mercado Central Municipio,,,,,,,,,,,
355,11.- PUNO,PUNO,HUANCANE,HUANCANE,PAP HUANCANE,555,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Moquegua N° 104 - Barrio Progreso,,,,,,,,,,,
356,11.- PUNO,PUNO,LAMPA,LAMPA,PAP LAMPA,556,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Alfonso Ugarte N° 343,,,,,,,,,,,
357,11.- PUNO,PUNO,MELGAR,AYAVIRI,PAP MELGAR,557,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Calle Jorge Chavez N°  550,,,,,,,,,,,
358,11.- PUNO,PUNO,SANDIA,SANDIA,PAP SANDIA,558,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida Juliaca S/N - Mercado Central Sandia,,,,,,,,,,,
359,11.- PUNO,PUNO,SAN ROMAN,JULIACA,AG SAN ROMAN,559,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Brascesco N° 181 ,,,,,,,,,,,
360,11.- PUNO,PUNO,YUNGUYO,YUNGUYO,PAP YUNGUYO,560,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Grau Nº 240,,,,,,,,,,,
361,11.- PUNO,PUNO,SAN ANTONIO DE PUTINA,PUTINA,PAP PUTINA,561,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO, Plaza de Armas S/N (Palacio Municipal),,,,,,,,,,,
362,11.- PUNO,PUNO,EL COLLAO,ILAVE,PAP EL COLLAO,562,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO,Jirón Bolognesi S/N - Coliseo Cubierto Ilave Oficina N° 02,,,,,,,,,,,
363,11.- PUNO,PUNO,MOHO,MOHO,PAP MOHO,563,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Avenida Circunvalación S/N Terminal Terrestre,,,,,,,,,,,
364,11.- PUNO,PUNO,AZANGARO,AZANGARO,ORA CARLOS CORNEJO ROSELLO,634,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Francisco Bolognesi N° 557,,,,,,,,,,,
365,11.- PUNO,PUNO,CHUCUITO,JULI,ORA JULI,635,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Panamericana S/N,,,,,,,,,,,
366,11.- PUNO,PUNO,HUANCANE,HUANCANE,ORA HOSPITAL LUCIO ALDAZABAL PAUCA,636,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Avenida Santa Cruz S/N,,,,,,,,,,,
367,11.- PUNO,PUNO,MELGAR,AYAVIRI,ORA SAN JUAN DE DIOS (AYAVIRI),637,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Progreso S/N,,,,,,,,,,,
368,11.- PUNO,PUNO,SAN ROMÁN,JULIACA,ORA CENTRO DE SALUD CLAS SANTA ADRIANA,759,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Pachacutec S/N,,,,,,,,,,,
369,11.- PUNO,PUNO,SAN ROMÁN,SAN MIGUEL,PAP SAN MIGUEL - JR11,792,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,NO, Palacio Municipal S/N,,,,,,,,,,,
370,11.- PUNO,PUNO,CHUCUITO,DESAGUADERO,PAP DESAGUADERO,791,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón 28 de Julio N° 305 - Desaguadero,,,,,,,,,,,
371,11.- PUNO,PUNO,PUNO,ACORA,PAP ACORA,824,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Plaza de Armas (Palacio Municipal),,,,,,,,,,,
372,11.- PUNO,PUNO,SAN ROMAN,JULIACA,MAC PUNO,1184,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida San Martin lote 07,,,,,,,,,,,
373,11.- PUNO,PUNO,CARABAYA,MACUSANI,PANP CRUCERO,1185,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Plaza Plaza de Armas S/N,,,,,,,,,,,
374,12.- ICA,ICA,ICA,ICA,ORA REGIONAL DE ICA (MINSA),18,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Huacachina S/N,,,,,,,,,,,
375,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,AG LUCANAS,125,AG,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,SI,Jirón San Pedro  Nº 216,,,,,,,,,,,
376,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,AG PARINACOCHAS,126,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Bolognesi N° 419 Plaza de Armas,,,,,,,,,,,
377,12.- ICA,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,PANP PAUCAR DEL SARA SARA,130,PANP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Miguel de Cervantes N° 455 (Palacio Municipal),,,,,,,,,,,
378,12.- ICA,ICA,ICA,PARCONA,PAP PARCONA,150,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,NO,SI,SI,SI,Avenida Jhon F. Kennedy N° 500 con Calle Lima S/N (Costado del Palacio Municipal),,,,,,,,,,,
379,12.- ICA,ICA,ICA,ICA,OR ICA,271,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida San Martin N° 1366 Mz. M-02 Lt. 035. Urb. San Isidro ,,,,,,,,,,,
380,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,AG CHINCHA,272,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle Los Angeles N° 300,,,,,,,,,,,
381,12.- ICA,ICA,NASCA,NASCA,AG NASCA,273,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle Fermin del Castillo N° 270,,,,,,,,,,,
382,12.- ICA,ICA,PISCO,PISCO,AG PISCO,274,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle San Juan de Dios N° 288,,,,,,,,,,,
383,12.- ICA,ICA,PALPA,PALPA,AG PALPA,275,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Calle Portal de Escribanos Nº 145,,,,,,,,,,,
384,12.- ICA,AYACUCHO,LUCANAS,CABANA,PAP CABANA ,330,PAP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Jirón Jorge Chavez N° 272 ,,,,,,,,,,,
385,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,ORA FELIPE HUAMAN POMA DE AYALA (MINSA),346,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Arnaldo Alvarado S/N ,,,,,,,,,,,
386,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,ORA HOSPITAL DE APOYO DE CORACORA (MINSA),347,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida La Cultura S/N,,,,,,,,,,,
387,12.- ICA,ICA,ICA,ICA,ORA SANTA MARIA DEL SOCORRO (MINSA),354,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Castrovirreyna N° 759,,,,,,,,,,,
388,12.- ICA,ICA,PISCO,PISCO,ORA SAN JUAN DE DIOS (MINSA),355,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Fermín Tanguis S/N (Altura del Fundo Alto de la Luna),,,,,,,,,,,
389,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,ORA SAN JOSE DE CHINCHA (MINSA),356,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Avenida Abelardo Alva Maurtua Nº 600,,,,,,,,,,,
390,12.- ICA,AYACUCHO,LUCANAS,LARAMATE,PANP LARAMATE,469,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Ica S/N,,,,,,,,,,,
391,12.- ICA,ICA,NASCA,NASCA,ORA HOSPITAL DE APOYO DE NASCA (MINSA),507,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle Callao S/N - 5ta Cuadra,,,,,,,,,,,
392,12.- ICA,ICA,ICA,ICA,ORA AUGUSTO HERNANDEZ MENDOZA (ESSALUD),233,ORA,OPERATIVO,08:45 a 16:30,SI,SI,NO,SI,SI,NO,NO,NO,Calle José Matias Manzanilla S/N,,,,,,,,,,,
393,12.- ICA,ICA,NASCA,MARCONA,PAP MARCONA,876,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Calle Andres Avelino Caceres S/N,,,,,,,,,,,
394,12.- ICA,ICA,ICA,ICA,MAC ICA,1193,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Los Maestros S/N C.C. Mega Plaza Segundo Piso,,,,,,,,,,,
395,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,ORA HOSPITAL REGIONAL DE PUCALLPA (MINSA),143,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Agustin Cauper N° 285,,,,,,,,,,,
396,13.- PUCALLPA,HUANUCO,PUERTO INCA,PUERTO INCA,PAP PUERTO INCA,248,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Vulcano S/N,,,,,,,,,,,
397,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,ORA HOSPITAL AMAZÓNICO - YARINACOCHA (MINSA),337,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,NO,NO,NO,Jirón Aguaytia N° 605,,,,,,,,,,,
398,13.- PUCALLPA,LORETO,UCAYALI,CONTAMANA,PAP CONTAMANA,435,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Calle Nuevo Loreto Mz.38C  Lt.5B,,,,,,,,,,,
399,13.- PUCALLPA,UCAYALI,PADRE ABAD,IRAZOLA ,AG IRAZOLA ,542,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,NO,SI,NO,Calle Progreso S/N ,,,,,,,,,,,
400,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,OR PUCALLPA,701,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Jirón 09 de Diciembre N° 378 y Tacna Nº 891 Mz. 07 Lt. Acumulado 1-B, independiente.",,,,,,,,,,,
401,13.- PUCALLPA,UCAYALI,PADRE ABAD,PADRE ABAD,PAP PADRE ABAD,702,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,NO,SI,SI,SI,Avenida Grau Nº 214,,,,,,,,,,,
402,13.- PUCALLPA,UCAYALI,ATALAYA,RAIMONDI,PAP ATALAYA,703,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón Rioja Nº 659,,,,,,,,,,,
403,13.- PUCALLPA,UCAYALI,PURUS,PURUS,PAP PURUS,704,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,SI,SI,NO,Avenida Purus S/N,,,,,,,,,,,
404,13.- PUCALLPA,UCAYALI,ATALAYA,TAHUANIA,PAP TAHUANIA,723,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,NO,NO,NO,NO,Jirón 7 de Junio  S/N,,,,,,,,,,,
