,,,,,,,,,,,,,,,,,,
N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN ,NOMBRE DE LA VIA
340,11.- PUNO,PUNO,PUNO,PUNO,OR PUNO,551,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Arequipa N° 1143 - 1145 Barrio Victoria
341,11.- PUNO,PUNO,AZANGARO,AZANGARO,PAP AZANGARO,552,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Azangaro N° 160  (Palacio Municipal)
342,11.- PUNO,PUNO,CARABAYA,MACUSANI,PAP CARABAYA,553,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Raimondi N° 116
343,11.- PUNO,PUNO,CHUCUITO,JULI,PAP CHUCUITO,554,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Ilave 235 - Mercado Central Municipio
344,11.- PUNO,PUNO,HUANCANE,HUANCANE,PAP HUANCANE,555,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Moquegua N° 104 - Barrio Progreso
345,11.- PUNO,PUNO,LAMPA,LAMPA,PAP LAMPA,556,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Alfonso Ugarte N° 343
346,11.- PUNO,PUNO,MELGAR,AYAVIRI,PAP MELGAR,557,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jorge Chavez N°  550
347,11.- PUNO,PUNO,SANDIA,SANDIA,PAP SANDIA,558,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Juliaca S/N - Mercado Central Sandia
348,11.- PUNO,PUNO,SAN ROMAN,JULIACA,AG SAN ROMAN,559,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Brascesco N° 181 
349,11.- PUNO,PUNO,YUNGUYO,YUNGUYO,PAP YUNGUYO,560,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Grau Nº 240
350,11.- PUNO,PUNO,SAN ANTONIO DE PUTINA,PUTINA,PAP PUTINA,561,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de Armas S/N (Palacio Municipal)
351,11.- PUNO,PUNO,EL COLLAO,ILAVE,PAP EL COLLAO,562,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Bolognesi S/N - Coliseo Cubierto Ilave Oficina N° 02
352,11.- PUNO,PUNO,MOHO,MOHO,PAP MOHO,563,PAP,DESPLAZAMIENTO (DOMINGOS),08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Circunvalación S/N Mercado Municipal
353,11.- PUNO,PUNO,AZANGARO,AZANGARO,ORA CARLOS CORNEJO ROSELLO,634,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Francisco Bolognesi N° 557
354,11.- PUNO,PUNO,CHUCUITO,JULI,ORA JULI,635,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Panamericana S/N
355,11.- PUNO,PUNO,HUANCANE,HUANCANE,ORA HOSPITAL LUCIO ALDAZABAL PAUCA,636,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Santa Cruz S/N
356,11.- PUNO,PUNO,MELGAR,AYAVIRI,ORA SAN JUAN DE DIOS (AYAVIRI),637,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Progreso S/N
357,11.- PUNO,PUNO,SAN ROMÁN,JULIACA,ORA CENTRO DE SALUD CLAS SANTA ADRIANA,759,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Pachacutec S/N
358,11.- PUNO,PUNO,SANDIA,SANDIA,ORA HOSPITAL SANDIA,639,ORA,DESPLAZAMIENTO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Arica N° 448
359,11.- PUNO,PUNO,SAN ROMÁN,SAN MIGUEL,PAP SAN MIGUEL - JR11,792,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Palacio Municipal S/N
360,11.- PUNO,PUNO,CHUCUITO,DESAGUADERO,PAP DESAGUADERO,791,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,28 de Julio N° 305 - Desaguadero
361,12.- ICA,ICA,ICA,ICA,ORA REGIONAL DE ICA,18,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Huacachina S/N
362,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,AG LUCANAS,125,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,San Pedro  Nº 216
363,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,AG PARINACOCHAS,126,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Bolognesi N° 419 Plaza de Armas
364,12.- ICA,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,PANP PAUCAR DEL SARA SARA,130,PANP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Miguel de Cervantes N° 455 (Palacio Municipal)
365,12.- ICA,ICA,ICA,PARCONA,PAP PARCONA,150,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jhon F. Kennedy N° 500 con Calle Lima S/N (Costado del Palacio Municipal)
366,12.- ICA,ICA,ICA,ICA,OR ICA,271,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,San Martin N° 1366 Mz. M-02 Lt. 035. Urb. San Isidro 
367,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,AG CHINCHA,272,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Los Angeles N° 300
368,12.- ICA,ICA,NASCA,NASCA,AG NASCA,273,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Fermin del Castillo N° 270
369,12.- ICA,ICA,PISCO,PISCO,AG PISCO,274,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,San Juan de Dios N° 288
370,12.- ICA,ICA,PALPA,PALPA,AG PALPA,275,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Portal de Escribanos Nº 145
371,12.- ICA,AYACUCHO,LUCANAS,CABANA,PAP CABANA ,330,PAP,ITINERANTE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jorge Chavez N° 272 
372,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,ORA FELIPE HUAMAN POMA DE AYALA,346,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Arnaldo Alvarado S/N 
373,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,ORA HOSPITAL DE APOYO DE CORACORA,347,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,La Cultura S/N
374,12.- ICA,ICA,ICA,ICA,ORA SANTA MARIA DEL SOCORRO,354,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Castrovirreyna N° 759
375,12.- ICA,ICA,PISCO,PISCO,ORA SAN JUAN DE DIOS,355,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Fermín Tanguis S/N (Altura del Fundo Alto de la Luna)
376,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,ORA SAN JOSE DE CHINCHA,356,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Abelardo Alva Maurtua Nº 600
377,12.- ICA,AYACUCHO,LUCANAS,LARAMATE,PANP LARAMATE,469,PANP,ITINERANTE,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Ica S/N
378,12.- ICA,ICA,NASCA,NASCA,ORA HOSPITAL DE APOYO DE NASCA,507,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Callao S/N - 5ta Cuadra
379,12.- ICA,ICA,ICA,ICA,ORA AUGUSTO HERNANDEZ MENDOZA,233,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Av. José Matias Manzanilla S/N
380,12.- ICA,ICA,NASCA,MARCONA,PAP MARCONA,876,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Av. Andres Avelino Caceres S/N
381,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,ORA HOSPITAL REGIONAL DE PUCALLPA,143,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Agustin Cauper N° 285
382,13.- PUCALLPA,HUANUCO,PUERTO INCA,PUERTO INCA,PAP PUERTO INCA,248,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Vulcano S/N
383,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,ORA HOSPITAL AMAZÓNICO - YARINACOCHA,337,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Aguaytia N° 605
384,13.- PUCALLPA,LORETO,UCAYALI,CONTAMANA,PAP CONTAMANA,435,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Nuevo Loreto Mz.38C  Lt.5B
385,13.- PUCALLPA,UCAYALI,PADRE ABAD,IRAZOLA ,AG IRAZOLA ,542,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,SI,Jr. Progreso S/N 
386,13.- PUCALLPA,UCAYALI,PADRE ABAD,PADRE ABAD,ORA AGUAYTIA,647,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Victor Pinedo / Palmeras Mz. 152A Junta Vecinal Pampayurac
387,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,OR PUCALLPA,701,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"09 de Diciembre N° 378 y Tacna Nº 891 Mz. 07 Lt. Acumulado 1-B, independiente."
388,13.- PUCALLPA,UCAYALI,PADRE ABAD,PADRE ABAD,PAP PADRE ABAD,702,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jr. Grau Nº 214
389,13.- PUCALLPA,UCAYALI,ATALAYA,RAIMONDI,PAP ATALAYA,703,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Rioja Nº 659
390,13.- PUCALLPA,UCAYALI,PURUS,PURUS,PAP PURUS,704,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Purus S/N
391,13.- PUCALLPA,UCAYALI,ATALAYA,TAHUANIA,PAP TAHUANIA,723,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,7 de Junio  S/N
392,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,MAC - UCAYALI,828,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,Centenario 1642 (2do piso) Centro Comercial Real Plaza
393,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,PAP IZCUCHACA,15,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Ferrocarril  S/N 
394,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,PAUCARA,PAP PAUCARA,16,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Plaza Mayor S/N
395,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ORA HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA,20,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Andrés Avelino Cáceres S/N - Barrio Yananaco
396,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ORA HUANDO,618,ORA,DESPLAZAMIENTO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Cementerio s/n
397,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ASCENSIÓN,ORA HOSPITAL II HUANCAVELICA,62,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Teresa de Jurnet S/N
398,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,OR HUANCAVELICA,221,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Av. San Cristóbal Nº 384, 386 y 388"
399,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,ACOBAMBA,OR ACOBAMBA,222,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Dos De Mayo N° 459
400,14.- HUANCAVELICA,HUANCAVELICA,ANGARAES,LIRCAY,OR ANGARAES,223,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Centenario S/N - Barrio de Pueblo Nuevo - Dentro del Centro Civico
401,14.- HUANCAVELICA,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,OR CASTROVIRREYNA,224,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Los Libertadores S/N
402,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,PAMPAS,OR TAYACAJA,225,OR,OPERATIVO,08:45 a 16:45,NO,SI,SI,SI,SI,SI,SI,SI,Manco Capac S/N con Jirón Alfonso Ugarte Cordova y Necochea - Coliseo Multiuso
403,14.- HUANCAVELICA,HUANCAVELICA,HUAYTARA,HUAYTARA,OR HUAYTARA,226,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,24 de Junio S/N - 2do piso Centro Cívico 
404,14.- HUANCAVELICA,HUANCAVELICA,CHURCAMPA,CHURCAMPA,OR CHURCAMPA,227,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Real N° 255
405,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,PAMPAS,ORA HOSPITAL DE PAMPAS,362,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Bolívar S/N 
406,14.- HUANCAVELICA,HUANCAVELICA,ANGARAES,LIRCAY,ORA LIRCAY,467,ORA,DESPLAZAMIENTO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Esmeralda S/N
407,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,SURCUBAMBA,AG SURCUBAMBA,498,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Alfonso Ugarte S/N
408,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,COLCABAMBA,AG COLCABAMBA,510,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Av. Centenario S/N
409,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,YAULI,ORA YAULI,598,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Jorge Chávez S/N
410,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,PAUCARA,ORA PAUCARA,468,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Lircay s/n
411,14.- HUANCAVELICA,HUANCAVELICA,CHURCAMPA,CHURCAMPA,ORA CHURCAMPA,651,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Ricardo Palma N° 535 (Instalaciones del Centro de Salud)
412,15.- HUANUCO,PASCO,PASCO,YANACANCHA,ORA DR. DANIEL ALCIDES CARRION GARCIA,59,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Los Incas S/N Urb. San Juan
413,15.- HUANUCO,PASCO,OXAPAMPA,PUERTO BERMUDEZ,PAP PUERTO BERMÚDEZ,115,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Remigio Morales Bermúdez S/N
414,15.- HUANUCO,PASCO,PASCO,HUARIACA,PAP HUARIACA,116,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,28 de Julio Nº 129
415,15.- HUANUCO,HUANUCO,HUANUCO,HUÁNUCO,ORA HOSPITAL REGIONAL HERMILIO VALDIZAN,144,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Hermilio Valdizan Nº 950
416,15.- HUANUCO,PASCO,PASCO,PAUCARTAMBO,PAP PAUCARTAMBO - JR15,170,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Plaza 28 de Julio S/N
417,15.- HUANUCO,HUANUCO,HUANUCO,HUÁNUCO,OR HUANUCO,241,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,28 de Julio N° 825
418,15.- HUANUCO,HUANUCO,AMBO,AMBO,PAP AMBO,242,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,"28 de Julio 697, Centro Cívico"
419,15.- HUANUCO,HUANUCO,DOS DE MAYO,LA UNION,PAP DOS DE MAYO,243,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Lourdes N° 221
420,15.- HUANUCO,HUANUCO,HUAMALIES,LLATA,PAP HUAMALIES,244,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Huánuco N° 242
421,15.- HUANUCO,HUANUCO,MARAÑON,HUACRACHUCO,PAP MARAÑON,245,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,28 De Julio N° 602 
422,15.- HUANUCO,HUANUCO,LEONCIO PRADO,RUPA-RUPA,PAP LEONCIO PRADO,246,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Chiclayo N° 585
423,15.- HUANUCO,HUANUCO,PACHITEA,PANAO,PAP PACHITEA,247,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Espinar N° 121
424,15.- HUANUCO,HUANUCO,LAURICOCHA,JESÚS,PAP LAURICOCHA,250,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Cristobal Colon S/N
425,15.- HUANUCO,HUANUCO,YAROWILCA,CHAVINILLO,PAP YAROWILCA,251,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Virgen de Fátima S/N
426,15.- HUANUCO,PASCO,PASCO,CHAUPIMARCA,ORA HOSPITAL II PASCO,340,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Barrio Buenos Aires S/N
427,15.- HUANUCO,HUANUCO,PACHITEA,PANAO,ORA PANAO,365,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Grau Nº 193
428,15.- HUANUCO,HUANUCO,LEONCIO PRADO,RUPA-RUPA,ORA HOSPITAL TINGO MARIA,366,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Mapresa S/N Luyando
429,15.- HUANUCO,HUANUCO,LEONCIO PRADO,JOSÉ CRESPO Y CASTILLO,ORA AUCAYACU,367,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Grau S/N cuadra 4
430,15.- HUANUCO,HUANUCO,HUAMALIES,LLATA,ORA LLATA,368,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,28 de Julio N° 216
431,15.- HUANUCO,HUANUCO,DOS DE MAYO,LA UNION,ORA LA UNION,451,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Dos de Mayo N° 185
432,15.- HUANUCO,HUANUCO,LEONCIO PRADO,JOSÉ CRESPO Y CASTILLO,PAP JOSE CRESPO Y CASTILLO,477,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Maria Parado de Bellido S/N Cuadra 4
433,15.- HUANUCO,HUANUCO,LAURICOCHA,BAÑOS,AG BAÑOS,497,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N
434,15.- HUANUCO,PASCO,PASCO,YANACANCHA,AG PASCO,501,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Centro Comercial ""Sector Dos de San Juan Pampa Edif. 4 Tienda 3 San Juan-Yanacancha"
435,15.- HUANUCO,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,PAP DANIEL ALCIDES CARRIÓN,502,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jorge Chavez S/N Plaza Principal
436,15.- HUANUCO,PASCO,OXAPAMPA,OXAPAMPA,PAP OXAPAMPA,503,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Huancabamba S/N Mz. 162 Estadio Municipal Oxapampa
437,15.- HUANUCO,SAN MARTIN,TOCACHE,UCHIZA,AG UCHIZA,541,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Atahualpa N° 920
438,15.- HUANUCO,PASCO,OXAPAMPA,PALCAZÚ,AG PALCAZU,580,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Juan Santos Atahualpa Mz. U Lt. 01
439,15.- HUANUCO,SAN MARTIN,TOCACHE,TOCACHE,PAP TOCACHE,588,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,San Juan Cdra 7 S/N Centro Cívico
440,15.- HUANUCO,HUANUCO,HUANUCO,CHINCHAO,ORA ACOMAYO,596,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Iguarizo S/N Mz. 6 Lt. 02
441,15.- HUANUCO,SAN MARTIN,TOCACHE,TOCACHE,ORA HOSPITAL DE TOCACHE,650,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Ricardo Palma N° 550
442,15.- HUANUCO,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,ORA SANTA MARIA DEL VALLE,653,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Libertad  S/N Intersección Carretera Central 
443,15.- HUANUCO,HUANUCO,HUANUCO ,AMARILIS ,ORA CARLOS SHOWING FERRARI,749,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Micaela Bastidas S/N Paucarbamba 
444,15.- HUANUCO,PASCO,OXAPAMPA,OXAPAMPA,ORA HOSPITAL ERNESTO GERMAN GUZMAN GONZALES,660,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Eduardo Loechle S/N - Chontabamba
445,15.- HUANUCO,HUANUCO,HUANUCO,HUANUCO,MAC - HUANUCO,802,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,SI,SI,SI,"Independencia N° 1601, Centro Comercial Real Plaza, Primer Piso"
446,15.- HUANUCO,HUANUCO,PACHITEA,UMARI,ORA TAMBILLO UMARI,597,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Huanuco - Panao Km 37
447,15.- HUANUCO,HUANUCO,YAROWILCA,CHAVINILLO,ORA CHAVINILLO,644,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,San Juan N° 102
448,15.- HUANUCO,PASCO,OXAPAMPA,CONSTITUCIÓN,AG CONSTITUCION,548,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Fernando Belaunde S/N 4ta Etapa del Distrito de Constitución
449,16.- AMAZONAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,OR CHACHAPOYAS,1,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Triunfo Nº 903 1° Piso
450,16.- AMAZONAS,AMAZONAS,BAGUA,BAGUA,PAP BAGUA,2,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Los Cedros Nº 263
451,16.- AMAZONAS,AMAZONAS,BONGARA,JAZAN,AG BONGARA,3,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Marginal  Nº 100 -Pedro Ruíz
452,16.- AMAZONAS,AMAZONAS,LUYA ,LUYA ,AG LUYA,4,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Diego Mori Zuta n° 447
453,16.- AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLÁS,AG RODRIGUEZ DE MENDOZA,5,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Victor Mori N° 204
454,16.- AMAZONAS,AMAZONAS,CONDORCANQUI,NIEVA,PAP CONDORCANQUI,6,PAP,OPERATIVO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,Gonzalo puerta S/N
455,16.- AMAZONAS,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,PAP UTCUBAMBA,7,PAP,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Simón Bolivar N° 545
456,16.- AMAZONAS,CAJAMARCA,JAEN,JAEN,OR JAEN,158,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Mariscal Ureta Nº 915
457,16.- AMAZONAS,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,PAP SAN IGNACIO,161,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Santo Domingo Nº 169
458,16.- AMAZONAS,AMAZONAS,BAGUA,IMAZA,OR IMAZA,234,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Awajun S/N Plaza de Armas
459,16.- AMAZONAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ORA HOSPITAL REGIONAL VIRGEN DE FATIMA,363,ORA,OPERATIVO,08:45 a 16:45,NO,NO,NO,SI,SI,SI,NO,NO,Daniel Alcides Carrión N° 035
