,,,,,,,,,,,,,,,,,,,,,,,,,
N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO DE ATENCIÓN,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC",HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN ,NOMBRE DE LA VIA,,,,,,,
315,10.- LIMA,LIMA,BARRANCA,BARRANCA,ORA HOSPITAL DE BARRANCA (MINSA),740,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Nicolás de Piérola Nº 210 -224,,,,,,,
316,10.- LIMA,LIMA,HUARAL,HUARAL,ORA HOSPITAL SAN JUAN BAUTISTA HUARAL (MINSA),753,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Tacna Nº 120 Urb. San Juan I,,,,,,,
317,10.- LIMA,LIMA,LIMA ,COMAS,ORA HOSPITAL NACIONAL SERGIO E. BERNALES (MINSA),754,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,"Túpac Amaru N° 8000, Collique, Comas.",,,,,,,
318,10.- LIMA,LIMA,LIMA,LIMA,ORA NACIONAL DOS DE MAYO (MINSA),755,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau,,,,,,,
319,10.- LIMA,LIMA,LIMA,ATE ,ORA HOSPITAL DE HUAYCAN (MINSA),757,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima,,,,,,,
320,10.- LIMA,LIMA,LIMA,SAN JUAN DE MIRAFLORES,MAC - LIMA SUR,796,MAC,OPERATIVO,08:30 a 16:30,SI,NO,SI,SI,SI,NO,SI,SI,Circunvalación 1583- San Juan de Miraflores,,,,,,,
321,10.- LIMA,LIMA,LIMA,COMAS,MAC - LIMA NORTE,808,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,Los Angeles N° 602 2do piso - Cc Mall Plaza ,,,,,,,
322,10.- LIMA,LIMA,LIMA,JESUS MARIA,PVM - JESUS MARIA ,490,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Talara N° 130,,,,,,,
323,10.- LIMA,LIMA,LIMA,SANTIAGO DE SURCO,PVM - JOCKEY PLAZA,478,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Javier Prado Este N° 4200 ( Centro Financiero del Centro Comercial),,,,,,,
324,10.- LIMA,LIMA,LIMA,SURQUILLO,PVM - OPEN PLAZA ANGAMOS,499,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Cruce Angamos N° 1805 con Tomas Marsano,,,,,,,
325,10.- LIMA,LIMA,LIMA,CHORRILLOS,PVM - PLAZA LIMA SUR,493,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Prolongación Paseo  de la Republica S/N Urb. Matellini (2do nivel del Centro Comercial) ,,,,,,,
326,10.- LIMA,CALLAO,CALLAO,VENTANILLA,PVM - VENTANILLA,724,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,,,,,,,
327,10.- LIMA,CALLAO,CALLAO,BELLAVISTA,PVM MALL AVENTURA PLAZA - CALLAO,494,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,,,,,,,
328,10.- LIMA,LIMA,LIMA,CERCADO,PVM - REAL PLAZA CENTRO CÍVICO,491,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Garcilaso de la Vega N° 1337,,,,,,,
329,10.- LIMA,LIMA,LIMA,MIRAFLORES,PVM- MIRAFLORES,547,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Diez Canseco N° 230,,,,,,,
330,10.- LIMA,LIMA,LIMA,INDEPENDENCIA,PVM - INDEPENDENCIA,775,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Los Andes Nº 486 Urb. Industrial Panamericana Norte,,,,,,,
331,10.- LIMA,LIMA,LIMA,VILLA EL SALVADOR,PVM - VILLA EL SALVADOR ,489,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,"Arriba Perú Nº 640 Sector 2, Grupo 7, Mz J, Lt 05 ",,,,,,,
332,10.- LIMA,LIMA,LIMA,SANTA ANITA,ORA HOSP. JORGE VOTO BERNALES (ESSALUD),17,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,"CARRETERA CENTRAL KM. 3,5 - SANTA ANITA",,,,,,,
333,10.- LIMA,LIMA,LIMA,VILLA MARÍA DEL TRIUNFO,CMI JOSE CARLOS MARIATEGUI (MINSA),751,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,"Necochea s/n, AH. Jose Carlos Mariategui, Villa Maria del Triunfo.",,,,,,,
334,10.- LIMA,LIMA,LIMA,CHORRILLOS,CMI VIRGEN DEL CARMEN  (MINSA),183,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,NO,NO,SI,NO,NO,AV. LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES,,,,,,,
335,10.- LIMA,LIMA,LIMA,PUENTE PIEDRA,CARLOS LANFRANCO LA HOZ (MINSA),13,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,NO,SI,NO,NO,AV. SAENZ PEÑA S/N KM 30,,,,,,,
336,10.- LIMA,LIMA,LIMA,SAN JUAN DE LURIGANCHO,PVM - SAN JUAN DE LURIGANCHO,492,PVM ,OPERATIVO,08:45 a 16:45,NO,NO,NO,NO,NO,NO,SI,NO,Las Flores Lote Nz. 6 Urb . Canto Grande ,,,,,,,
337,10.- LIMA,ANCASH,OCROS,OCROS,AG OCROS,40,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Plaza de Armas S/N (MUNICIPIO),,,,,,,
338,11.- PUNO,PUNO,PUNO,PUNO,ORA MANUEL NUÑEZ BUTRON (MINSA),19,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,El Sol N° 1022,,,,,,,
339,11.- PUNO,PUNO,PUNO,PUNO,ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO (ESSALUD),89,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Francisco Cáceres Jara Nº 600,,,,,,,
340,11.- PUNO,PUNO,SAN ROMAN,JULIACA,ORA CARLOS MONGE MEDRANO (MINSA),90,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Carretera a Huancane Km 2,,,,,,,
341,11.- PUNO,PUNO,EL COLLAO ,ILAVE ,ORA ILAVE (MINSA),108,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Atahualpa Nº 825,,,,,,,
342,11.- PUNO,PUNO,SAN ROMAN,JULIACA,ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA (ESSALUD),118,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,José Santos Chocano S/N - La Capilla,,,,,,,
343,11.- PUNO,PUNO,PUNO,PUNO,OR PUNO,551,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Arequipa N° 1143 - 1145 Barrio Victoria,,,,,,,
344,11.- PUNO,PUNO,AZANGARO,AZANGARO,PAP AZANGARO,552,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Azangaro N° 160  (Palacio Municipal),,,,,,,
345,11.- PUNO,PUNO,CARABAYA,MACUSANI,PAP CARABAYA,553,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Raimondi N° 116,,,,,,,
346,11.- PUNO,PUNO,CHUCUITO,JULI,PAP CHUCUITO,554,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Ilave 235 - Mercado Central Municipio,,,,,,,
347,11.- PUNO,PUNO,HUANCANE,HUANCANE,PAP HUANCANE,555,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Moquegua N° 104 - Barrio Progreso,,,,,,,
348,11.- PUNO,PUNO,LAMPA,LAMPA,PAP LAMPA,556,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Alfonso Ugarte N° 343,,,,,,,
349,11.- PUNO,PUNO,MELGAR,AYAVIRI,PAP MELGAR,557,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jorge Chavez N°  550,,,,,,,
350,11.- PUNO,PUNO,SANDIA,SANDIA,PAP SANDIA,558,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Juliaca S/N - Mercado Central Sandia,,,,,,,
351,11.- PUNO,PUNO,SAN ROMAN,JULIACA,AG SAN ROMAN,559,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Brascesco N° 181 ,,,,,,,
352,11.- PUNO,PUNO,YUNGUYO,YUNGUYO,PAP YUNGUYO,560,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Grau Nº 240,,,,,,,
353,11.- PUNO,PUNO,SAN ANTONIO DE PUTINA,PUTINA,PAP PUTINA,561,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Plaza de Armas S/N (Palacio Municipal),,,,,,,
354,11.- PUNO,PUNO,EL COLLAO,ILAVE,PAP EL COLLAO,562,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Bolognesi S/N - Coliseo Cubierto Ilave Oficina N° 02,,,,,,,
355,11.- PUNO,PUNO,MOHO,MOHO,PAP MOHO,563,PAP,DESPLAZAMIENTO,"08:15 a 13.00
(Domingos)",NO,NO,SI,SI,SI,NO,NO,NO,Circunvalación S/N Terminal Terrestre,,,,,,,
356,11.- PUNO,PUNO,AZANGARO,AZANGARO,ORA CARLOS CORNEJO ROSELLO (MINSA),634,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Francisco Bolognesi N° 557,,,,,,,
357,11.- PUNO,PUNO,CHUCUITO,JULI,ORA JULI (MINSA),635,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Panamericana S/N,,,,,,,
358,11.- PUNO,PUNO,HUANCANE,HUANCANE,ORA HOSPITAL LUCIO ALDAZABAL PAUCA (MINSA),636,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Santa Cruz S/N,,,,,,,
359,11.- PUNO,PUNO,MELGAR,AYAVIRI,ORA SAN JUAN DE DIOS (AYAVIRI) (MINSA),637,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Progreso S/N,,,,,,,
360,11.- PUNO,PUNO,SAN ROMÁN,JULIACA,ORA CENTRO DE SALUD CLAS SANTA ADRIANA (MINSA),759,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Pachacutec S/N,,,,,,,
361,11.- PUNO,PUNO,SAN ROMÁN,SAN MIGUEL,PAP SAN MIGUEL - JR11,792,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Palacio Municipal S/N,,,,,,,
362,11.- PUNO,PUNO,CHUCUITO,DESAGUADERO,PAP DESAGUADERO,791,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,28 de Julio N° 305 - Desaguadero,,,,,,,
363,12.- ICA,ICA,ICA,ICA,ORA REGIONAL DE ICA (MINSA),18,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Huacachina S/N,,,,,,,
364,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,AG LUCANAS,125,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,San Pedro  Nº 216,,,,,,,
365,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,AG PARINACOCHAS,126,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Bolognesi N° 419 Plaza de Armas,,,,,,,
366,12.- ICA,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,PANP PAUCAR DEL SARA SARA,130,PANP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Miguel de Cervantes N° 455 (Palacio Municipal),,,,,,,
367,12.- ICA,ICA,ICA,PARCONA,PAP PARCONA,150,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jhon F. Kennedy N° 500 con Calle Lima S/N (Costado del Palacio Municipal),,,,,,,
368,12.- ICA,ICA,ICA,ICA,OR ICA,271,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,San Martin N° 1366 Mz. M-02 Lt. 035. Urb. San Isidro ,,,,,,,
369,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,AG CHINCHA,272,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Los Angeles N° 300,,,,,,,
370,12.- ICA,ICA,NASCA,NASCA,AG NASCA,273,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,Fermin del Castillo N° 270,,,,,,,
371,12.- ICA,ICA,PISCO,PISCO,AG PISCO,274,AG,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,San Juan de Dios N° 288,,,,,,,
372,12.- ICA,ICA,PALPA,PALPA,AG PALPA,275,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Portal de Escribanos Nº 145,,,,,,,
373,12.- ICA,AYACUCHO,LUCANAS,CABANA,PAP CABANA ,330,PAP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jorge Chavez N° 272 ,,,,,,,
374,12.- ICA,AYACUCHO,LUCANAS,PUQUIO,ORA FELIPE HUAMAN POMA DE AYALA (MINSA),346,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Arnaldo Alvarado S/N ,,,,,,,
375,12.- ICA,AYACUCHO,PARINACOCHAS,CORACORA,ORA HOSPITAL DE APOYO DE CORACORA (MINSA),347,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,La Cultura S/N,,,,,,,
376,12.- ICA,ICA,ICA,ICA,ORA SANTA MARIA DEL SOCORRO (MINSA),354,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Castrovirreyna N° 759,,,,,,,
377,12.- ICA,ICA,PISCO,PISCO,ORA SAN JUAN DE DIOS (MINSA),355,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Fermín Tanguis S/N (Altura del Fundo Alto de la Luna),,,,,,,
378,12.- ICA,ICA,CHINCHA,CHINCHA ALTA,ORA SAN JOSE DE CHINCHA (MINSA),356,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Abelardo Alva Maurtua Nº 600,,,,,,,
379,12.- ICA,AYACUCHO,LUCANAS,LARAMATE,PANP LARAMATE,469,PANP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Ica S/N,,,,,,,
380,12.- ICA,ICA,NASCA,NASCA,ORA HOSPITAL DE APOYO DE NASCA (MINSA),507,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Callao S/N - 5ta Cuadra,,,,,,,
381,12.- ICA,ICA,ICA,ICA,ORA AUGUSTO HERNANDEZ MENDOZA (ESSALUD),233,ORA,OPERATIVO,08:45 a 16:30,NO,NO,NO,SI,SI,SI,NO,NO,Av. José Matias Manzanilla S/N,,,,,,,
382,12.- ICA,ICA,NASCA,MARCONA,PAP MARCONA,876,PAP,DESPLAZAMIENTO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Av. Andres Avelino Caceres S/N,,,,,,,
383,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,ORA HOSPITAL REGIONAL DE PUCALLPA (MINSA),143,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Agustin Cauper N° 285,,,,,,,
384,13.- PUCALLPA,HUANUCO,PUERTO INCA,PUERTO INCA,PAP PUERTO INCA,248,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Vulcano S/N,,,,,,,
385,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,ORA HOSPITAL AMAZÓNICO - YARINACOCHA (MINSA),337,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Aguaytia N° 605,,,,,,,
386,13.- PUCALLPA,LORETO,UCAYALI,CONTAMANA,PAP CONTAMANA,435,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Nuevo Loreto Mz.38C  Lt.5B,,,,,,,
387,13.- PUCALLPA,UCAYALI,PADRE ABAD,IRAZOLA ,AG IRAZOLA ,542,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,SI,Jr. Progreso S/N ,,,,,,,
388,13.- PUCALLPA,UCAYALI,PADRE ABAD,PADRE ABAD,ORA AGUAYTIA (MINSA),647,ORA,OPERATIVO,08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,Victor Pinedo / Palmeras Mz. 152A Junta Vecinal Pampayurac,,,,,,,
389,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,OR PUCALLPA,701,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"09 de Diciembre N° 378 y Tacna Nº 891 Mz. 07 Lt. Acumulado 1-B, independiente.",,,,,,,
390,13.- PUCALLPA,UCAYALI,PADRE ABAD,PADRE ABAD,PAP PADRE ABAD,702,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Jr. Grau Nº 214,,,,,,,
391,13.- PUCALLPA,UCAYALI,ATALAYA,RAIMONDI,PAP ATALAYA,703,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Rioja Nº 659,,,,,,,
392,13.- PUCALLPA,UCAYALI,PURUS,PURUS,PAP PURUS,704,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Purus S/N,,,,,,,
393,13.- PUCALLPA,UCAYALI,ATALAYA,TAHUANIA,PAP TAHUANIA,723,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,7 de Junio  S/N,,,,,,,
394,13.- PUCALLPA,UCAYALI,CORONEL PORTILLO,CALLERIA,MAC - UCAYALI,828,MAC,OPERATIVO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,Centenario 1642 (2do piso) Centro Comercial Real Plaza,,,,,,,
395,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,IZCUCHACA,PAP IZCUCHACA,15,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Ferrocarril  S/N ,,,,,,,
396,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,PAUCARA,PAP PAUCARA,16,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Plaza Mayor S/N,,,,,,,
397,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ORA HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA (MINSA),20,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Andrés Avelino Cáceres S/N - Barrio Yananaco,,,,,,,
398,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ORA HUANDO (MINSA),618,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Cementerio s/n,,,,,,,
399,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,ASCENSIÓN,ORA HOSPITAL II HUANCAVELICA (ESSALUD),62,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,NO,SI,NO,NO,Teresa de Jurnet S/N,,,,,,,
400,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,OR HUANCAVELICA,221,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,"Av. San Cristóbal Nº 384, 386 y 388",,,,,,,
401,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,ACOBAMBA,OR ACOBAMBA,222,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Dos De Mayo N° 459,,,,,,,
402,14.- HUANCAVELICA,HUANCAVELICA,ANGARAES,LIRCAY,OR ANGARAES,223,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Centenario S/N - Barrio de Pueblo Nuevo - Dentro del Centro Civico,,,,,,,
403,14.- HUANCAVELICA,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,OR CASTROVIRREYNA,224,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Los Libertadores S/N,,,,,,,
404,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,PAMPAS,OR TAYACAJA,225,OR,OPERATIVO,08:45 a 16:45,NO,SI,SI,SI,SI,SI,SI,SI,Manco Capac S/N con Jirón Alfonso Ugarte Cordova y Necochea - Coliseo Multiuso,,,,,,,
405,14.- HUANCAVELICA,HUANCAVELICA,HUAYTARA,HUAYTARA,OR HUAYTARA,226,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,24 de Junio S/N - 2do piso Centro Cívico ,,,,,,,
406,14.- HUANCAVELICA,HUANCAVELICA,CHURCAMPA,CHURCAMPA,OR CHURCAMPA,227,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,Real N° 255,,,,,,,
407,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,PAMPAS,ORA HOSPITAL DE PAMPAS (MINSA),362,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Bolívar S/N ,,,,,,,
408,14.- HUANCAVELICA,HUANCAVELICA,ANGARAES,LIRCAY,ORA LIRCAY (MINSA),467,ORA,DESPLAZAMIENTO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Esmeralda S/N,,,,,,,
409,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,SURCUBAMBA,AG SURCUBAMBA,498,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Alfonso Ugarte S/N,,,,,,,
410,14.- HUANCAVELICA,HUANCAVELICA,TAYACAJA,COLCABAMBA,AG COLCABAMBA,510,AG,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Av. Centenario S/N,,,,,,,
411,14.- HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,YAULI,ORA YAULI (MINSA),598,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Jorge Chávez S/N,,,,,,,
412,14.- HUANCAVELICA,HUANCAVELICA,ACOBAMBA,PAUCARA,ORA PAUCARA (MINSA),468,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Lircay s/n,,,,,,,
413,14.- HUANCAVELICA,HUANCAVELICA,CHURCAMPA,CHURCAMPA,ORA CHURCAMPA (MINSA),651,ORA,DESPLAZAMIENTO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Ricardo Palma N° 535 (Instalaciones del Centro de Salud),,,,,,,
414,15.- HUANUCO,PASCO,PASCO,YANACANCHA,ORA DR. DANIEL ALCIDES CARRION GARCIA (MINSA),59,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Los Incas S/N Urb. San Juan,,,,,,,
415,15.- HUANUCO,PASCO,OXAPAMPA,PUERTO BERMUDEZ,PAP PUERTO BERMÚDEZ,115,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Remigio Morales Bermúdez S/N,,,,,,,
416,15.- HUANUCO,PASCO,PASCO,HUARIACA,PAP HUARIACA,116,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,28 de Julio Nº 129,,,,,,,
417,15.- HUANUCO,HUANUCO,HUANUCO,HUÁNUCO,ORA HOSPITAL REGIONAL HERMILIO VALDIZAN (MINSA),144,ORA,OPERATIVO,08:45 a 16:45,SI,NO,NO,SI,SI,SI,NO,NO,Hermilio Valdizan Nº 950,,,,,,,
418,15.- HUANUCO,PASCO,PASCO,PAUCARTAMBO,PAP PAUCARTAMBO,170,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,Plaza 28 de Julio S/N,,,,,,,
419,15.- HUANUCO,HUANUCO,HUANUCO,HUÁNUCO,OR HUANUCO,241,OR,OPERATIVO,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,28 de Julio N° 825,,,,,,,
420,15.- HUANUCO,HUANUCO,AMBO,AMBO,PAP AMBO,242,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,"28 de Julio 697, Centro Cívico",,,,,,,
421,15.- HUANUCO,HUANUCO,DOS DE MAYO,LA UNION,PAP DOS DE MAYO,243,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Lourdes N° 221,,,,,,,
422,15.- HUANUCO,HUANUCO,HUAMALIES,LLATA,PAP HUAMALIES,244,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,Huánuco N° 242,,,,,,,
423,15.- HUANUCO,HUANUCO,MARAÑON,HUACRACHUCO,PAP MARAÑON,245,PAP,OPERATIVO,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,28 De Julio N° 602 ,,,,,,,
